# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.885000000000000000e+03,-1.237810287221075711e+01,2.015985640529873169e-01,3.614434431504077594e+01,2.477922788999999959e+00,8.632840000000000513e-01,1.059157472999999960e+00,4.261066758946538613e+01
2.889000000000000000e+03,-1.165310285320518702e+01,6.107784969471049763e+00,2.675100767378108557e+01,-2.513237569000000171e+00,8.826110000000000344e-01,-7.036981373999999789e-01,2.086988168785581621e+01
2.894000000000000000e+03,2.148286560306830140e+01,-1.632120746831583702e+01,2.877967213550358139e+01,-1.118958214999999923e+00,9.336919999999999664e-01,-2.216349790000000208e+00,1.113609600755979123e+01
2.896000000000000000e+03,8.271077488576498382e+00,-1.166771181489263931e+01,2.781846287358011693e+01,1.220175106999999981e+00,3.728060000000000263e-01,1.305784462999999951e+00,1.524549684569052843e+01
2.899000000000000000e+03,1.841261653161782874e+01,-1.423972984847687862e+00,3.578524093612024615e+01,7.220708607000000390e-01,8.029680000000000151e-01,2.269401388999999991e+00,2.299421539697815220e+01
2.902000000000000000e+03,-1.727623791028638678e+01,-9.090700196942213651e+00,2.677765363864181936e+01,3.021623148000000203e+00,5.354659999999999975e-01,7.360935991000000511e-01,3.192061342682214331e+01
2.903000000000000000e+03,1.793924730338742535e+01,-1.584014353149982135e+01,3.323789842207870748e+01,2.010197370999999844e+00,8.459189999999999765e-01,7.533169320999999474e-01,3.177347903823168096e+01
2.904000000000000000e+03,1.087622435968231827e+01,-1.386342269592903520e+01,2.782814069706551052e+01,6.749294666999999803e-01,6.791059999999999874e-01,2.230009755999999843e+00,2.617792115071961589e+01
2.920000000000000000e+03,-1.509877606037414388e+01,1.658588165804430048e+01,3.275930248479112805e+01,3.064967306999999863e+00,6.660110000000000197e-01,8.200702452999999448e-01,1.893703471621511270e+01
2.924000000000000000e+03,-1.501444127591729227e+01,2.103812705979349573e+01,3.035343917176070150e+01,-2.101895847999999845e+00,5.377459999999999463e-01,-7.340619412000000121e-01,2.584065497627774022e+01
2.927000000000000000e+03,-8.095573861669830507e+00,7.900093606828661130e+00,2.651044754719973184e+01,1.000843335999999972e+00,8.262350000000000527e-01,2.518011430000000050e+00,1.072928888710308399e+02
2.933000000000000000e+03,-1.648459466434577791e+01,-2.621277121894324047e+00,2.545252278612469254e+01,-2.181205669000000125e+00,7.532299999999999551e-01,-8.541540413000000553e-01,3.802883396409247325e+02
2.935000000000000000e+03,3.601602746234468189e+00,6.042571135753784795e+00,2.728619756100188098e+01,2.392126833999999924e+00,7.866429999999999811e-01,3.411616091999999933e-01,1.327524517319970982e+02
2.942000000000000000e+03,1.621025951667393628e+01,7.222814363861435716e+00,2.812332608057848304e+01,1.475071282999999900e+00,7.264580000000000481e-01,2.368090313999999807e+00,2.254616709086200785e+02
2.943000000000000000e+03,1.054324417851020002e+01,-1.486758427127233340e+01,3.322711991729773473e+01,1.092170958000000081e+00,7.646420000000000439e-01,2.399834865999999955e+00,9.437935884777378703e+01
2.945000000000000000e+03,-2.162820675477993504e+01,7.593250767714476268e+00,2.727035176488487167e+01,-2.585904674000000014e+00,8.386609999999999898e-01,-8.936690609999999868e-01,1.348665601690004507e+02
2.952000000000000000e+03,-2.043006408191791934e+01,1.918465082650822495e+01,2.767252308161137364e+01,3.063379131000000033e+00,5.153450000000000530e-01,7.671983151000000278e-01,3.886939631039610532e+01
2.965000000000000000e+03,-3.921051293998785159e+00,1.809494968849529428e+01,2.536487591636050354e+01,8.231721775000000463e-01,1.028520000000000101e+00,2.469082670000000146e+00,1.428240103192486572e+02
